scenario,profit,variance,violates_variance,has_capacity_clipping
207,7526688238.1729355,1024750755.6786084,False,True
208,7524624899.460167,984482433.2632847,False,True
209,7537772439.144247,919691129.6406298,False,True
210,7550224619.405889,1010608795.4998764,False,True
211,7556823329.061103,1081853093.9397142,True,True
212,7493868915.52312,977639357.2192068,False,True
213,7567994043.337614,1153234937.6282606,True,True
214,7473993231.309534,1247923076.9367125,True,True
215,7526584256.338585,1120980113.3826578,True,True
216,7528973901.363215,1232262516.9478433,True,True
217,7550716781.320546,983597251.7541493,False,True
218,7541342983.4401245,1029837490.7408482,True,True
219,7548928672.887231,843204444.2830553,False,True
220,7539460754.066996,1074478930.4458895,True,True
221,7523657561.171429,1003920938.7598885,False,True
222,7536846161.391693,977017958.9230752,False,True
223,7524843689.318426,1077830162.9951231,True,True
224,7596881895.993371,926298870.0622039,False,True
225,7544892311.426038,1027542252.1516553,False,True
226,7566151453.717602,1013558539.013111,False,True
227,7562944153.991078,983498433.528917,False,True
228,7551916477.880014,987652183.7927238,False,True
229,7530675862.273803,1195819562.0255783,True,True
230,7514772132.996906,989790859.013318,False,True
231,7533585635.069766,1059072852.9150339,True,True
232,7510145044.826083,1068858764.4648889,True,True
233,7505817372.177034,1044511776.1976447,True,True
234,7534345034.198278,1029938326.5521318,True,True
235,7553994708.453941,934093942.6163803,False,True
236,7527486675.967602,1130711749.6837146,True,True
237,7506488243.606193,1067463141.595332,True,True
238,7542984092.553253,1038666174.9359331,True,True
239,7551154082.0643425,1233213572.8969934,True,True
240,7513732264.818581,1098726503.405453,True,True
241,7543649516.953799,1112878151.7653644,True,True
242,7505490773.280359,952754178.1337738,False,True
243,7536214746.187818,954907593.569146,False,True
244,7526089120.130859,945013050.4430552,False,True
245,7567503045.967773,1102325628.5371926,True,True
246,7512364360.742216,831325466.8707876,False,True
247,7513403713.277787,1095618257.3571284,True,True
248,7564191189.927458,978603209.6435328,False,True
249,7485901611.719932,1049416101.651517,True,True
250,7529356112.039473,1058610042.6210856,True,True
251,7479632137.258941,1203567777.5715592,True,True
252,7578894234.52972,1069864275.7888435,True,True
253,7499414699.749424,1122374554.1228404,True,True
254,7580999930.228213,924923577.3959085,False,True
255,7518411604.718957,1109851024.0268755,True,True
256,7521653112.866699,859715366.1937805,False,True
257,7515883779.640801,1005573444.5770675,False,True
258,7550729857.0184765,820320672.3939519,False,True
259,7558197033.788057,955982092.706662,False,True
260,7578116909.578862,1266884049.4721582,True,True
261,7525858001.7435665,968493088.8442413,False,True
262,7547408525.048595,915315046.2906704,False,True
263,7544308628.773954,962608560.9489574,False,True
264,7532438660.414898,945131510.9325967,False,True
265,7524076777.546937,1018414908.9162306,False,True
266,7529846422.943054,1105131288.188616,True,True
267,7562589177.854061,923873541.2333684,False,True
268,7581970071.456249,1144476361.6943886,True,True
269,7553566091.31204,1319123523.2136219,True,True
270,7547028350.451239,1014589553.0466138,False,True
271,7581184889.759733,967498902.5803,False,True
272,7532310563.85557,953615642.9526073,False,True
273,7532037944.686133,1013340934.2583221,False,True
274,7600417033.995387,1119436114.501912,True,True
275,7528199949.990107,952160253.5736264,False,True
276,7520103637.764406,995759843.0813307,False,True
277,7546218610.47848,1098654694.3211274,True,True
278,7550819503.803621,971225657.735736,False,True
279,7542474300.90107,865869316.6630669,False,True
280,7512909832.866045,1160023877.7853773,True,True
281,7587962141.721216,750122730.8327087,False,True
282,7537068374.393416,905872593.3668141,False,True
283,7517709731.550951,1093324257.7024164,True,True
284,7544217309.911195,1169631652.4020414,True,True
285,7544998386.677129,834933544.8636643,False,True
286,7551194561.977603,1029175174.75727,False,True
287,7558842118.760088,1042672077.0566036,True,True
288,7500255022.890184,951423829.8788818,False,True
289,7537154040.491986,1099831455.1601946,True,True
290,7495111474.916439,1103457428.7246776,True,True
291,7565388355.925615,1523235703.5830324,True,True
292,7527304064.518224,1064366542.9977168,True,True
293,7528456358.5966,1065423220.3754586,True,True
294,7522446653.923042,1029022636.4916911,False,True
295,7510245339.545326,1132606959.273191,True,True
296,7493708081.816268,1026799513.9755387,False,True
297,7514945503.400215,853180581.8507565,False,True
298,7533032843.691868,826242773.3118359,False,True
299,7552189398.64639,1033440334.0545292,True,True
